url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest,49,20
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest,44,6
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources,27,4
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources/models,25,4
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/AstmPhantomTestClasses,15,4
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTest.py,11,1
/Atracsys/SlicerAstmPhantomTest/blob/master/README.md,10,2
/Atracsys/SlicerAstmPhantomTest/tree/master/screenshots,7,1
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/phantom2022_RAS.stl,6,3
/Atracsys/SlicerAstmPhantomTest/tree/master/readme_img,5,2
