url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest,33,19
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest,8,3
/Atracsys/SlicerAstmPhantomTest/tree/master/readme_img,8,3
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/gt/phantom.txt,8,2
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources/gt,6,2
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources/models,6,2
/Atracsys/SlicerAstmPhantomTest/blob/master/readme_img/application_settings.svg,4,2
/Atracsys/SlicerAstmPhantomTest/blob/master/screenshots/screenshot1.png,4,2
/Atracsys/SlicerAstmPhantomTest/tree/master/screenshots,4,2
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTestClasses/Measurements.py,4,1
