url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest,25,15
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest,14,5
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/gt/phantom.txt,8,2
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources/gt,6,2
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources/models,6,2
/Atracsys/SlicerAstmPhantomTest/tree/master/readme_img,6,2
/Atracsys/SlicerAstmPhantomTest/blob/master/readme_img/application_settings.svg,4,2
/Atracsys/SlicerAstmPhantomTest/blob/master/README.md,4,2
/Atracsys/SlicerAstmPhantomTest/blob/master/screenshots/screenshot1.png,4,2
/Atracsys/SlicerAstmPhantomTest/tree/master/screenshots,4,2
