url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest,35,19
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest,8,4
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources/models,5,1
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/phantom2022_RAS.stl,4,1
/Atracsys/SlicerAstmPhantomTest/blob/master/readme_img/setup_example_light.svg,4,1
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources,3,2
/Atracsys/SlicerAstmPhantomTest/blob/master/License.txt,2,1
/Atracsys/SlicerAstmPhantomTest/blob/master/readme_img/tests_single.png,2,1
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/AstmPhantomTestClasses,2,1
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources/gt,2,1
