url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest,27,16
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/phantom2022_RAS.stl,11,5
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest,8,4
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/phantom2018_RAS.stl,7,3
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/simpPhantom_RAS.stl,6,5
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources/models,6,2
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources,5,3
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/ftk250_RAS.stl,4,3
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/ftk500_RAS.stl,4,3
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTest.py,4,2
