url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest,25,14
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest,14,4
/Atracsys/SlicerAstmPhantomTest/tree/master/screenshots,6,2
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTest.py,4,2
/Atracsys/SlicerAstmPhantomTest/blob/master/screenshots/screenshot1.png,4,2
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTestClasses/Measurements.py,4,1
/Atracsys/SlicerAstmPhantomTest/blob/master/README.md,4,1
/Atracsys/SlicerAstmPhantomTest/tree/master,3,1
/Atracsys/SlicerAstmPhantomTest/blob/master/AnalyzePhantomJSON.m,2,1
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTestClasses/__init__.py,2,1
