time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-12 00:00:00+00:00,5,2,,
2023-01-13 00:00:00+00:00,6,2,25.0,2.0
2023-01-14 00:00:00+00:00,6,2,2.0,1.0
2023-01-15 00:00:00+00:00,6,2,,
2023-01-16 00:00:00+00:00,8,3,2.0,2.0
2023-01-17 00:00:00+00:00,5,2,12.0,6.0
2023-01-18 00:00:00+00:00,6,2,20.0,4.0
2023-01-19 00:00:00+00:00,10,5,46.0,3.0
2023-01-20 00:00:00+00:00,7,3,1.0,1.0
2023-01-21 00:00:00+00:00,7,4,,
2023-01-22 00:00:00+00:00,8,3,,
2023-01-23 00:00:00+00:00,18,5,1.0,1.0
2023-01-24 00:00:00+00:00,11,5,7.0,3.0
2023-01-25 00:00:00+00:00,8,3,18.0,1.0
