time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-06 00:00:00+00:00,20,4,4.0,2.0
2023-10-07 00:00:00+00:00,7,3,2.0,1.0
2023-10-08 00:00:00+00:00,8,5,3.0,2.0
2023-10-09 00:00:00+00:00,8,4,63.0,4.0
2023-10-10 00:00:00+00:00,12,6,29.0,5.0
2023-10-11 00:00:00+00:00,5,3,8.0,5.0
2023-10-12 00:00:00+00:00,9,5,7.0,5.0
2023-10-13 00:00:00+00:00,7,3,,
2023-10-14 00:00:00+00:00,7,3,,
2023-10-15 00:00:00+00:00,7,3,1.0,1.0
2023-10-16 00:00:00+00:00,8,4,4.0,3.0
2023-10-17 00:00:00+00:00,9,4,1.0,1.0
2023-10-18 00:00:00+00:00,8,4,12.0,2.0
2023-10-19 00:00:00+00:00,6,2,1.0,1.0
