url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest,46,19
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest,32,5
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources,18,4
/Atracsys/SlicerAstmPhantomTest/tree/master,15,3
/Atracsys/SlicerAstmPhantomTest/blob/master/readme_img/locations_tests.svg,13,1
/Atracsys/SlicerAstmPhantomTest/tree/master/readme_img,12,2
/Atracsys/SlicerAstmPhantomTest/blob/master/AnalyzePhantomJSON.m,10,2
/Atracsys/SlicerAstmPhantomTest/tree/master/screenshots,9,3
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTest.py,9,1
/Atracsys/SlicerAstmPhantomTest/issues,7,2
