time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-28 00:00:00+00:00,11,4,1.0,1.0
2024-04-29 00:00:00+00:00,6,3,7.0,5.0
2024-04-30 00:00:00+00:00,6,3,13.0,6.0
2024-05-01 00:00:00+00:00,6,3,1.0,1.0
2024-05-02 00:00:00+00:00,6,3,15.0,8.0
2024-05-03 00:00:00+00:00,6,3,3.0,2.0
2024-05-04 00:00:00+00:00,10,4,,
2024-05-05 00:00:00+00:00,6,3,,
2024-05-06 00:00:00+00:00,12,6,9.0,5.0
2024-05-07 00:00:00+00:00,7,4,44.0,6.0
2024-05-08 00:00:00+00:00,10,4,12.0,5.0
2024-05-09 00:00:00+00:00,6,3,1.0,1.0
2024-05-10 00:00:00+00:00,10,4,3.0,2.0
2024-05-11 00:00:00+00:00,5,2,,
