time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-04 00:00:00+00:00,6,3,1.0,1.0
2023-03-05 00:00:00+00:00,8,5,,
2023-03-06 00:00:00+00:00,10,5,30.0,4.0
2023-03-07 00:00:00+00:00,6,3,31.0,1.0
2023-03-08 00:00:00+00:00,7,3,2.0,1.0
2023-03-09 00:00:00+00:00,7,3,6.0,3.0
2023-03-10 00:00:00+00:00,7,3,8.0,2.0
2023-03-11 00:00:00+00:00,7,3,,
2023-03-12 00:00:00+00:00,8,3,,
2023-03-13 00:00:00+00:00,7,4,,
2023-03-14 00:00:00+00:00,8,3,2.0,2.0
2023-03-15 00:00:00+00:00,7,3,3.0,2.0
2023-03-16 00:00:00+00:00,6,3,7.0,3.0
2023-03-17 00:00:00+00:00,5,2,6.0,5.0
