time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-06 00:00:00+00:00,12,6,9.0,5.0
2024-05-07 00:00:00+00:00,7,4,44.0,6.0
2024-05-08 00:00:00+00:00,10,4,12.0,5.0
2024-05-09 00:00:00+00:00,6,3,1.0,1.0
2024-05-10 00:00:00+00:00,10,4,3.0,2.0
2024-05-11 00:00:00+00:00,10,4,,
2024-05-12 00:00:00+00:00,6,3,3.0,3.0
2024-05-13 00:00:00+00:00,10,4,3.0,2.0
2024-05-14 00:00:00+00:00,6,3,87.0,9.0
2024-05-15 00:00:00+00:00,6,3,10.0,6.0
2024-05-16 00:00:00+00:00,8,4,9.0,5.0
2024-05-17 00:00:00+00:00,7,4,4.0,2.0
2024-05-18 00:00:00+00:00,6,4,,
2024-05-19 00:00:00+00:00,5,2,,
