time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-26 00:00:00+00:00,11,6,4.0,1.0
2023-01-27 00:00:00+00:00,10,4,,
2023-01-28 00:00:00+00:00,10,4,,
2023-01-29 00:00:00+00:00,9,4,,
2023-01-30 00:00:00+00:00,11,5,5.0,2.0
2023-01-31 00:00:00+00:00,11,6,1.0,1.0
2023-02-01 00:00:00+00:00,14,5,51.0,5.0
2023-02-02 00:00:00+00:00,39,4,7.0,4.0
2023-02-03 00:00:00+00:00,12,5,3.0,3.0
2023-02-04 00:00:00+00:00,7,3,,
2023-02-05 00:00:00+00:00,7,3,1.0,1.0
2023-02-06 00:00:00+00:00,8,4,8.0,2.0
2023-02-07 00:00:00+00:00,8,3,1.0,1.0
2023-02-08 00:00:00+00:00,6,2,1.0,1.0
