url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest,25,12
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources,10,4
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTest.py,7,5
/Atracsys/SlicerAstmPhantomTest/blob/master/README.md,7,3
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources/models,7,3
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest,5,4
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/phantom2022_RAS.stl,4,2
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/vega_RAS.stl,2,2
/Atracsys/SlicerAstmPhantomTest/issues,2,2
/Atracsys/SlicerAstmPhantomTest/issues/5,2,2
