time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-29 00:00:00+00:00,9,5,,
2023-05-30 00:00:00+00:00,7,3,10.0,2.0
2023-05-31 00:00:00+00:00,7,3,1.0,1.0
2023-06-01 00:00:00+00:00,8,4,2.0,2.0
2023-06-02 00:00:00+00:00,7,3,,
2023-06-03 00:00:00+00:00,7,3,,
2023-06-04 00:00:00+00:00,7,3,,
2023-06-05 00:00:00+00:00,8,4,2.0,2.0
2023-06-06 00:00:00+00:00,7,4,8.0,6.0
2023-06-07 00:00:00+00:00,7,3,10.0,5.0
2023-06-08 00:00:00+00:00,7,3,3.0,3.0
2023-06-09 00:00:00+00:00,8,4,,
2023-06-10 00:00:00+00:00,7,3,1.0,1.0
2023-06-11 00:00:00+00:00,6,2,,
