url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest,33,13
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest,12,5
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/phantom2022_RAS.stl,10,4
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTest.py,9,3
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources,6,3
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/phantom2018_RAS.stl,6,2
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources/models,6,2
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/simpPhantom_RAS.stl,5,4
/Atracsys/SlicerAstmPhantomTest/tree/master,5,3
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/ftk250_RAS.stl,4,3
