url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest,38,20
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest,10,3
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTest.py,5,2
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/AstmPhantomTestClasses,3,2
/Atracsys/SlicerAstmPhantomTest/issues,3,1
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/Resources,3,1
/Atracsys/SlicerAstmPhantomTest/tree/master/screenshots,2,2
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTestClasses/Measurements.py,2,1
/Atracsys/SlicerAstmPhantomTest/blob/master/screenshots/screenshot1.png,2,1
/Atracsys/SlicerAstmPhantomTest/issues/5,2,1
