url_path,views_total,views_unique
/Atracsys/SlicerAstmPhantomTest,34,11
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest,12,2
/Atracsys/SlicerAstmPhantomTest/activity,10,1
/Atracsys/SlicerAstmPhantomTest/blob/master/License.txt,9,1
/Atracsys/SlicerAstmPhantomTest/tree/master/AstmPhantomTest/AstmPhantomTestClasses,8,2
/Atracsys/SlicerAstmPhantomTest/branches,6,2
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTestClasses/Measurements.py,6,1
/Atracsys/SlicerAstmPhantomTest/blob/master/SlicerAstmPhantomTest.png,5,1
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/AstmPhantomTestClasses/Phantom.py,4,2
/Atracsys/SlicerAstmPhantomTest/blob/master/AstmPhantomTest/Resources/models/phantom2018_RAS.stl,4,1
