time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-28 00:00:00+00:00,8,4,1.0,1.0
2024-03-29 00:00:00+00:00,7,3,7.0,2.0
2024-03-30 00:00:00+00:00,6,3,1.0,1.0
2024-03-31 00:00:00+00:00,7,3,2.0,1.0
2024-04-01 00:00:00+00:00,8,4,5.0,3.0
2024-04-02 00:00:00+00:00,7,3,29.0,6.0
2024-04-03 00:00:00+00:00,5,2,8.0,5.0
2024-04-04 00:00:00+00:00,7,3,15.0,3.0
2024-04-05 00:00:00+00:00,4,3,152.0,3.0
2024-04-06 00:00:00+00:00,8,4,,
2024-04-07 00:00:00+00:00,7,3,1.0,1.0
2024-04-08 00:00:00+00:00,8,4,27.0,2.0
2024-04-09 00:00:00+00:00,7,3,5.0,2.0
2024-04-10 00:00:00+00:00,7,3,4.0,3.0
